timestamp,BNSOL/USDT_2025_1H,SOL/USDT_2025_1H
2025-01-27 09:00:00,233.0,226.4
2025-01-27 10:00:00,228.6,222.05
2025-01-27 11:00:00,232.5,225.85
2025-01-27 12:00:00,237.8,231.2
2025-01-27 13:00:00,238.2,231.1
2025-01-27 14:00:00,243.8,237.01
2025-01-27 15:00:00,240.3,233.66
2025-01-27 16:00:00,235.5,228.92
2025-01-27 17:00:00,233.9,227.16
2025-01-27 18:00:00,231.1,224.82
2025-01-27 19:00:00,232.7,226.53
2025-01-27 20:00:00,241.4,234.4
2025-01-27 21:00:00,240.8,233.95
2025-01-27 22:00:00,241.9,234.9
2025-01-27 23:00:00,242.1,234.89
2025-01-28 00:00:00,242.1,235.19
2025-01-28 01:00:00,241.4,234.38
2025-01-28 02:00:00,243.3,236.28
2025-01-28 03:00:00,244.1,236.69
2025-01-28 04:00:00,247.0,239.79
2025-01-28 05:00:00,249.6,242.42
